"consistency_type","request_type","num_requests","avg_read_latency","avg_write_latency","total_time","throughput","monotonic_retry_count"
"STRONG","get","1000","6","0","871","1148.105625717566","0"
"STRONG","get","3000","3","0","1440","2083.3333333333335","0"
"STRONG","get","5000","2","0","1811","2760.9055770292657","0"
"STRONG","get","1000","6","0","871","1148.105625717566","0"
"EVENTUAL","get","1000","4","0","621","1610.3059581320451","0"
"EVENTUAL","get","3000","1","0","744","4032.2580645161293","0"
"EVENTUAL","get","5000","1","0","862","5800.46403712297","0"
"EVENTUAL","get","1000","4","0","621","1610.3059581320451","0"
"STRONG","get_put","2000","1","160","20256","98.73617693522907","0"
"STRONG","get_put","6000","1","161","61131","98.14987485890956","0"
"STRONG","get_put","10000","0","163","102681","97.38900088623991","0"
"STRONG","get_put","2000","1","160","20256","98.73617693522907","0"
"EVENTUAL","get_put","2000","1","163","20766","96.31127805065974","0"
"EVENTUAL","get_put","6000","1","164","62111","96.60124615607542","0"
"EVENTUAL","get_put","10000","1","165","103973","96.17881565406404","0"
"EVENTUAL","get_put","2000","1","163","20766","96.31127805065974","0"
"MONOTONIC_READS","get_put","2000","2","166","21121","94.6924861512239","587"
"MONOTONIC_READS","get_put","6000","1","164","62514","95.97850081581726","1777"
"MONOTONIC_READS","get_put","10000","1","164","104189","95.97942201192065","3126"
"MONOTONIC_READS","get_put","2000","2","166","21121","94.6924861512239","587"
"READ_MY_WRITES","get_put","2000","2","165","20995","95.26077637532745","601"
"READ_MY_WRITES","get_put","6000","1","164","62531","95.95240760582752","1796"
"READ_MY_WRITES","get_put","10000","1","164","103635","96.49249770830318","2808"
"READ_MY_WRITES","get_put","2000","2","165","20995","95.26077637532745","601"
